TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
--- NEW TEST SESSION STARTED ---
25692,2,0.00,0.00,0.00,0,0,0,16,341,-305,-16,-341,305,RUNNING
25714,2,0.00,0.00,0.00,0,0,0,13,342,-302,-13,-342,302,RUNNING
25736,2,0.00,0.00,0.00,0,0,0,9,314,-265,-9,-314,265,RUNNING
25758,2,0.00,0.00,0.00,0,0,0,3,258,-214,-3,-258,214,RUNNING
25780,2,0.00,0.00,0.00,0,0,0,-3,195,-158,3,-195,158,RUNNING
25804,2,0.00,0.00,0.00,0,0,0,-6,135,-103,6,-135,103,RUNNING
25826,2,0.00,0.00,0.00,0,0,0,-5,84,-64,5,-84,64,RUNNING
25848,2,0.00,0.00,0.00,0,0,0,-5,42,-25,5,-42,25,RUNNING
25870,2,0.00,0.00,0.00,0,0,0,-4,-7,12,4,7,-12,RUNNING
25892,2,0.00,0.00,0.00,0,0,0,-5,-49,48,5,49,-48,RUNNING
25914,2,0.00,0.00,0.00,0,0,0,-4,-78,72,4,78,-72,RUNNING
25936,2,0.00,0.00,0.00,0,0,0,-5,-90,83,5,90,-83,RUNNING
25958,2,0.00,0.00,0.00,0,0,0,-4,-94,85,4,94,-85,RUNNING
25980,2,0.00,0.00,0.00,0,0,0,-4,-95,84,4,95,-84,RUNNING
26004,2,0.00,0.00,0.00,0,0,0,-5,-98,84,5,98,-84,RUNNING
26026,2,0.00,0.00,0.00,0,0,0,-4,-105,85,4,105,-85,RUNNING
26048,2,0.00,0.00,0.00,0,0,0,-5,-114,91,5,114,-91,RUNNING
26070,2,0.00,0.00,0.00,0,0,0,-4,-118,100,4,118,-100,RUNNING
26092,2,0.00,0.00,0.00,0,0,0,-3,-118,104,3,118,-104,RUNNING
26114,2,0.00,0.00,0.00,0,0,0,0,-117,103,0,117,-103,RUNNING
26136,2,0.00,0.00,0.00,0,0,0,1,-117,103,-1,117,-103,RUNNING
26158,2,0.00,0.00,0.00,0,0,0,1,-117,103,-1,117,-103,RUNNING
26180,2,0.00,0.00,0.00,0,0,0,0,-118,103,0,118,-103,RUNNING
26204,2,0.00,0.00,0.00,0,0,0,0,-117,101,0,117,-101,RUNNING
26226,2,0.00,0.00,0.00,0,0,0,-1,-117,100,1,117,-100,RUNNING
26248,2,0.00,0.00,0.00,0,0,0,-1,-116,98,1,116,-98,RUNNING
26270,2,0.00,0.00,0.00,0,0,0,-1,-115,89,1,115,-89,RUNNING
26292,2,0.00,0.00,0.00,0,0,0,-1,-103,76,1,103,-76,RUNNING
26314,2,0.00,0.00,0.00,0,0,0,-1,-91,64,1,91,-64,RUNNING
26336,2,0.00,0.00,0.00,0,0,0,-1,-79,50,1,79,-50,RUNNING
26358,2,0.00,0.00,0.00,0,0,0,-1,-64,41,1,64,-41,RUNNING
26380,2,0.00,0.00,0.00,0,0,0,-1,-50,40,1,50,-40,RUNNING
